100, 35, 125, 10
125, 10, 150, 35
150, 35, 125, 60
125, 60, 100, 35
620, 35, 595, 10
595, 10, 570, 35
570, 35, 595, 60
595, 60, 620, 35
335, 35, 360, 10
360, 10, 385, 35
385, 35, 360, 60
360, 60, 335, 35
100, 135, 125, 110
125, 110, 150, 135
150, 135, 125, 160
125, 160, 100, 135
620, 135, 595, 110
595, 110, 570, 135
570, 135, 595, 160
595, 160, 620, 135
335, 135, 360, 110
360, 110, 385, 135
385, 135, 360, 160
360, 160, 335, 135
100, 235, 125, 210
125, 210, 150, 235
150, 235, 125, 260
125, 260, 100, 235
620, 235, 595, 210
595, 210, 570, 235
570, 235, 595, 260
595, 260, 620, 235
335, 235, 360, 210
360, 210, 385, 235
385, 235, 360, 260
360, 260, 335, 235
100, 415, 125, 390
125, 390, 150, 415
150, 415, 125, 440
125, 440, 100, 415
620, 415, 595, 390
595, 390, 570, 415
570, 415, 595, 440
595, 440, 620, 415
335, 415, 360, 390
360, 390, 385, 415
385, 415, 360, 440
360, 440, 335, 415
100, 515, 125, 490
125, 490, 150, 515
150, 515, 125, 540
125, 540, 100, 515
620, 515, 595, 490
595, 490, 570, 515
570, 515, 595, 540
595, 540, 620, 515
335, 515, 360, 490
360, 490, 385, 515
385, 515, 360, 540
360, 540, 335, 515
100, 615, 125, 590
125, 590, 150, 615
150, 615, 125, 640
125, 640, 100, 615
620, 615, 595, 590
595, 590, 570, 615
570, 615, 595, 640
595, 640, 620, 615
335, 615, 360, 590
360, 590, 385, 615
385, 615, 360, 640
360, 640, 335, 615
